insecurityRate,pWhite,pBlack,pHispanic,pAsian,county,pLOWI,pKids,pSeniors,numInsecure,numWhite,numBlack,numAsian,numHispanic,region
13.9%,76.23292939737463,20.049682861934606,2.6846399253496087,0.653190925942272,"Elmore County, Alabama",26.85270418521367,23.58927152818935,11.8986671374349,"11,280",60455.0,15900.0,518.0,2129.0,4.0
17.7%,62.068425585218826,31.890185025705264,1.8737440956183615,0.24008977269761736,"Escambia County, Alabama",44.71150082204651,22.64933844828936,15.167410423027741,"6,570",23784.0,12220.0,92.0,718.0,4.0
16.8%,80.2671646078713,15.125921670018194,3.3007756391841427,0.6434932490663603,"Etowah County, Alabama",38.06473235660251,22.968495643014457,15.807718088671837,"17,250",83823.0,15796.0,672.0,3447.0,4.0
18.8%,86.47990255785626,11.420451249927499,1.1832260309726814,0.21460472130386868,"Fayette County, Alabama",43.2921524273534,22.255089611971464,17.887593527057597,"3,090",14910.0,1969.0,37.0,204.0,4.0
16.3%,83.01791572041382,3.8733282866515264,14.856169568508706,0.19871309613928842,"Franklin County, Alabama",46.41054756497603,24.81390360837749,15.218899823366137,"5,130",26320.0,1228.0,63.0,4710.0,4.0
19.8%,86.32698768197088,9.477416946621874,3.434117207913401,0.2500933184023889,"Geneva County, Alabama",44.22172452407615,22.362821948488243,17.4468085106383,"5,230",23127.0,2539.0,67.0,920.0,4.0
22.2%,17.412935323383085,81.48148148148148,0.7628524046434495,0.16583747927031509,"Greene County, Alabama",62.012161415146494,24.25649530127142,16.07517965726921,"1,850",1575.0,7370.0,15.0,69.0,4.0
16.9%,39.75888324873097,59.01649746192893,0.8883248730964468,0.2220812182741117,"Hale County, Alabama",47.41751269035533,24.841370558375633,15.038071065989847,"2,510",6266.0,9301.0,35.0,140.0,4.0
14.5%,68.57588718067275,28.563171887643048,2.248294994798289,0.31210264709282165,"Henry County, Alabama",39.007051207952834,22.644780950179168,17.593341810195355,"2,490",11865.0,4942.0,54.0,389.0,4.0
16.4%,69.97055550631727,25.777226308999772,2.9493731966478576,0.8075078535062582,"Houston County, Alabama",40.82050676041636,24.546269215240233,14.451436280737,"17,160",71053.0,26176.0,820.0,2995.0,4.0
18.1%,90.83359948898115,3.3460461795705188,2.515640558363237,0.34756796362748227,"Jackson County, Alabama",44.38536832810416,22.51676780581284,16.48223645894001,"9,390",48348.0,1781.0,185.0,1339.0,4.0
14.4%,53.027187432608514,41.99533461105053,3.870814894011232,1.390808333308022,"Jefferson County, Alabama",34.75471778345427,23.46787837185215,13.127936749961275,"94,780",349166.0,276525.0,9158.0,25488.0,4.0
18.7%,86.69321614940951,11.28124141719308,1.2359241966492722,0.027464982147761604,"Lamar County, Alabama",44.43834111507827,22.157374347706675,18.758582806921176,"2,590",12626.0,1643.0,4.0,180.0,4.0
15.5%,86.41232242824321,9.985006849388949,2.24573665987121,0.7388710912640628,"Lauderdale County, Alabama",36.290974986247285,21.55346298633358,16.77614902544521,"14,340",80112.0,9257.0,685.0,2082.0,4.0
17.7%,77.59981362299426,11.468010134249687,1.671568770202976,0.1223099100148519,"Lawrence County, Alabama",35.5397652814584,23.192288651387635,14.557791432482018,"5,850",26647.0,3938.0,42.0,574.0,4.0
14.9%,71.30705113121849,22.746297603513803,3.259249752222864,2.608255435053869,"Lee County, Alabama",42.93852987942701,22.525259007322795,9.066860610209131,"23,990",100006.0,31901.0,3658.0,4571.0,4.0
14.3%,80.33872097799039,12.598149356140222,5.5458916189509795,1.1161846778285134,"Limestone County, Alabama",33.791162329975116,23.989514628784033,12.305815273851803,"13,540",66506.0,10429.0,924.0,4591.0,4.0
19.3%,25.303124170280554,73.54633153376405,0.7699796442163023,0.12390477033365785,"Lowndes County, Alabama",49.04858837065227,24.179130896539515,14.64731392158598,"1,940",2859.0,8310.0,14.0,87.0,4.0
15.4%,15.471750885698304,82.6449748275219,1.0814842438933432,0.35427932127540557,"Macon County, Alabama",39.40425135185531,20.6041394741749,14.12921872086519,"2,890",3319.0,17729.0,76.0,232.0,4.0
13.0%,68.18175030091605,24.00637971870697,4.600804633061638,2.4685568873185173,"Madison County, Alabama",29.362834554420253,23.741752809794182,12.207782898411343,"47,180",228280.0,80376.0,8265.0,15404.0,4.0
17.3%,46.373709991915156,51.70495077757169,1.6740381414371996,0.2520568792504875,"Marengo County, Alabama",44.81856660484139,24.68730679602416,16.2838255576164,"3,350",9751.0,10872.0,53.0,352.0,4.0
19.2%,93.55016896282817,3.8471536262022354,2.053548219391734,0.1754613984923317,"Marion County, Alabama",44.62243306472576,21.656485573173903,18.34221471276319,"5,730",28791.0,1184.0,54.0,632.0,4.0
17.1%,87.57780668465583,1.6061234801492168,12.08140272417463,0.5138735097130693,"Marshall County, Alabama",44.73064642707404,25.00456895902988,14.902331781679013,"16,380",81464.0,1494.0,478.0,11238.0,4.0
15.8%,60.20625096854177,34.62343096234309,2.405857740585774,1.8307860684952735,"Mobile County, Alabama",38.936347435301414,25.08063110181311,12.910903843173719,"65,300",248647.0,142992.0,7561.0,9936.0,4.0
19.9%,55.13265129183284,41.67678168891972,0.9537020981446159,0.29044563898040576,"Monroe County, Alabama",48.617131957690304,25.320790705739554,15.684064504941912,"4,240",12718.0,9614.0,67.0,220.0,4.0
15.0%,39.52511957028815,54.70673125133521,3.6248217890418246,2.1019083287191047,"Montgomery County, Alabama",38.86154262021337,24.488256606340165,11.955284854139508,"34,010",90656.0,125477.0,4821.0,8314.0,4.0
15.0%,79.84266465813039,11.871286300108794,7.662565905096661,0.5782910703824587,"Morgan County, Alabama",35.177839149719645,23.955142689764834,14.119173152565068,"17,850",95404.0,14185.0,691.0,9156.0,4.0
20.1%,30.252100840336134,68.69983948635634,1.0763856104239449,0.283259371164196,"Perry County, Alabama",55.51883674818242,24.105372486073083,16.702860919648757,"1,870",3204.0,7276.0,30.0,114.0,4.0
17.8%,56.26455991086803,41.58310543907627,1.5851311658057328,0.18231540565177756,"Pickens County, Alabama",44.22161450420338,23.300921705661906,16.89456092373139,"3,610",11110.0,8211.0,36.0,313.0,4.0
16.9%,58.19021854767622,36.63941153226542,2.218912428949208,1.9879023678531262,"Pike County, Alabama",46.54548770479346,20.31064774005289,12.799781148363174,"5,640",19144.0,12054.0,654.0,730.0,4.0
15.5%,76.51551520970628,20.10648976563523,2.8324531925108016,0.2400384061449832,"Randolph County, Alabama",40.671234670274515,23.88600357875442,16.968533147121722,"3,520",17532.0,4607.0,55.0,649.0,4.0
16.8%,53.73108958014618,41.80595690029652,3.675373486694242,0.44572874761554004,"Russell County, Alabama",46.841180803444956,25.495306627382096,12.691937220239108,"9,730",28449.0,22135.0,236.0,1946.0,4.0
14.4%,88.21432416589906,8.55334776835381,2.0528034644049145,0.6196691110499684,"St. Clair County, Alabama",33.50280525881354,23.71729690285072,13.05013577691912,"12,680",73741.0,7150.0,518.0,1716.0,4.0
10.6%,83.01150780429045,10.627162518902017,5.929210344208935,1.9099366942614757,"Shelby County, Alabama",22.674218930209907,25.610374964758954,10.573339826229592,"22,700",161943.0,20732.0,3726.0,11567.0,4.0
19.8%,24.166242824965487,74.95458838915934,0.6248637651674781,0.23977330523868345,"Sumter County, Alabama",55.77998982779917,22.291651529463053,14.989464506284966,"2,530",3326.0,10316.0,33.0,86.0,4.0
16.8%,65.3036176495607,31.66202865440935,2.030598728901095,0.41195270442697257,"Talladega County, Alabama",41.98879585859936,23.435126563050638,14.085379932191856,"13,530",53739.0,26055.0,339.0,1671.0,4.0
16.4%,69.8937908496732,26.63158400615148,2.503844675124952,0.4733756247597078,"Tallapoosa County, Alabama",42.12322183775471,22.152537485582467,17.284217608612074,"6,650",29087.0,11083.0,197.0,1042.0,4.0
14.3%,66.272809469012,29.59631349662995,3.0561606115403586,1.1846539536412954,"Tuscaloosa County, Alabama",36.318942133815554,21.466587210258094,10.81394870951833,"29,660",129004.0,57611.0,2306.0,5949.0,4.0
18.6%,91.23136833624278,5.860674693761843,1.9500768392939738,0.2909448995121078,"Walker County, Alabama",40.35629560001791,22.540023573996987,16.254121719409756,"11,950",61146.0,3928.0,195.0,1307.0,4.0
18.4%,65.45702747284,24.913258631477163,0.8588817473408793,0.11375917183322906,"Washington County, Alabama",42.187588874353,25.504806325009955,14.731812752403162,"3,050",11508.0,4380.0,20.0,151.0,4.0
20.1%,26.786632390745503,72.53641816623822,0.6169665809768637,0.03427592116538132,"Wilcox County, Alabama",50.05998286203942,26.99228791773779,15.012853470437019,"2,140",3126.0,8465.0,4.0,72.0,4.0
18.7%,95.60937755268746,0.46969449436366606,2.609867668681588,0.24505799705930403,"Winston County, Alabama",44.86603496160758,21.642705440287536,17.69727168763274,"4,460",23409.0,115.0,60.0,639.0,4.0
11.0%,21.012416427889207,6.972301814708691,12.257242916268703,35.97580388411334,"Aleutians East Borough, Alaska",38.108882521489974,11.811524992040752,4.934734161095192,370,660.0,219.0,1130.0,385.0,0.0
11.5%,36.03668404963136,5.970149253731343,13.055205898219743,28.879697896061856,"Aleutians West Census Area, Alaska",27.602949109872327,14.65563747527423,3.4705988131631003,650,2004.0,332.0,1606.0,726.0,0.0
10.9%,65.9632794884623,5.560162562622932,7.5596417043032496,8.080157354039736,"Anchorage Municipality, Alaska",20.976883485364567,25.969584615490053,7.243700013021457,"32,090",192498.0,16226.0,23580.0,22061.0,0.0
22.5%,11.132663257508964,0.38206077705284197,1.0638923176394521,0.9404572973608418,"Bethel Census Area, Alaska",57.19155939575619,36.54852171868571,6.118850290953977,"4,080",1894.0,65.0,160.0,181.0,0.0
12.7%,48.24473420260782,0.0,2.4072216649949847,0.802407221664995,"Bristol Bay Borough, Alaska",17.953861584754264,22.567703109327983,8.324974924774322,110,481.0,0.0,8.0,24.0,0.0
15.1%,89.64950711938664,0.547645125958379,2.3001095290251916,1.04052573932092,"Denali Borough, Alaska",44.08543263964951,22.508214676889377,7.502738225629792,340,1637.0,10.0,19.0,42.0,0.0
16.3%,18.11429750361048,0.22694450175366207,2.0837631524654427,0.6602021869197442,"Dillingham Census Area, Alaska",45.61584485248608,32.906952754281,7.571693831235817,810,878.0,11.0,32.0,101.0,0.0
11.1%,77.03856283497812,4.5326446746805225,5.791086379520603,2.6552300140396183,"Fairbanks North Star Borough, Alaska",22.20206802553776,25.620766337709185,6.533034094752052,"10,990",75175.0,4423.0,2591.0,5651.0,0.0
13.9%,83.1738437001595,0.3987240829346092,1.8740031897926632,0.5582137161084529,"Haines Borough, Alaska",25.757575757575758,19.896331738437002,13.75598086124402,350,2086.0,10.0,14.0,47.0,0.0
14.9%,47.16279069767442,0.37209302325581395,3.5813953488372094,0.5581395348837209,"Hoonah-Angoon Census Area, Alaska",31.534883720930235,19.72093023255814,13.395348837209303,320,1014.0,8.0,12.0,77.0,0.0
10.3%,69.74900079936052,0.8920863309352519,5.0775379696243,6.135891286970423,"Juneau City and Borough, Alaska",16.258992805755394,23.456434852118306,8.425259792166267,"3,310",21814.0,279.0,1919.0,1588.0,0.0
13.5%,84.57942238267148,0.4855595667870036,2.9620938628158844,1.1389891696750902,"Kenai Peninsula Borough, Alaska",29.95667870036101,23.666064981949457,11.328519855595667,"7,890",46857.0,269.0,631.0,1641.0,0.0
12.9%,68.08636937003784,0.578763819841211,3.991986347109891,6.997106180900794,"Ketchikan Gateway Borough, Alaska",25.680789493210654,23.944498033687022,10.143206945165838,"1,790",9176.0,78.0,943.0,538.0,0.0
11.5%,55.34137728075338,0.6768687463213655,7.3278399058269565,19.570335491465567,"Kodiak Island Borough, Alaska",26.07416127133608,28.649205414949968,6.731901118304886,"1,550",7522.0,92.0,2660.0,996.0,0.0
28.6%,0.0,0.0,0.0,0.0,"Kusilvak Census Area, Alaska",0.0,0.0,0.0,"2,360",0.0,0.0,0.0,0.0,0.0
16.7%,23.298589822194973,0.5518087063151441,2.6364193746168,0.3678724708767627,"Lake and Peninsula Borough, Alaska",34.82526057633354,30.16554261189454,7.786633966891478,230,380.0,9.0,6.0,43.0,0.0
12.0%,84.88117309961234,0.9618517894263722,3.7091971459070736,1.2315298612281589,"Matanuska-Susitna Borough, Alaska",27.64087870105062,28.899376369458956,7.943142873195123,"12,680",75540.0,856.0,1096.0,3301.0,0.0
18.9%,16.35061104087653,0.28445006321112515,1.2115465655288664,1.0113780025284451,"Nome Census Area, Alaska",48.30383480825959,34.33417614833544,6.352718078381796,"1,890",1552.0,27.0,96.0,115.0,0.0
13.2%,33.37221633085896,0.9968186638388122,2.64050901378579,4.506892895015906,"North Slope Borough, Alaska",26.50053022269353,23.870625662778366,4.262990455991517,"1,290",3147.0,94.0,425.0,249.0,0.0
22.2%,11.245513757809384,0.49182506978598967,0.7709690283131729,0.5582879170543665,"Northwest Arctic Borough, Alaska",50.49847135451283,35.29177189950817,6.048119101422305,"1,720",846.0,37.0,42.0,58.0,0.0
12.7%,71.06159895150721,0.39318479685452157,3.4076015727391877,2.621231979030144,"Petersburg Borough, Alaska",18.138925294888598,23.35517693315858,11.48099606815203,410,2711.0,15.0,100.0,130.0,0.0
18.2%,50.350782514840795,0.3058103975535168,2.2845835581939196,0.37776578521316784,"Prince of Wales-Hyder Census Area, Alaska",40.69077172153265,25.616118006835762,10.05576542543623,"1,170",2799.0,17.0,21.0,127.0,0.0
11.4%,65.2854408287355,0.5292196824681905,4.920617047629772,5.956536426078144,"Sitka City and Borough, Alaska",19.75002814998311,23.53338587996847,11.350073189956086,980,5798.0,47.0,529.0,437.0,0.0
13.4%,91.42561983471074,0.0,2.169421487603306,0.5165289256198348,"Skagway Municipality, Alaska",19.111570247933884,15.702479338842975,9.090909090909092,150,885.0,0.0,5.0,21.0,0.0
14.5%,80.39550433916631,1.0812348840517854,3.329065300896287,0.9105135865699245,"Southeast Fairbanks Census Area, Alaska",27.329634371887895,26.30530658699673,9.446578460662968,990,5651.0,76.0,64.0,234.0,0.0
11.3%,73.96222498962224,0.4773765047737651,3.6218347862183475,3.6737235367372354,"Valdez-Cordova Census Area, Alaska",19.551681195516814,24.366957243669574,8.281444582814446,"1,040",7127.0,46.0,354.0,349.0,0.0
13.5%,72.56226255804137,0.16884761502743773,1.561840439003799,1.3929928239763614,"Wrangell City and Borough, Alaska",33.22076825664838,21.950189953566905,15.787252005065428,340,1719.0,4.0,33.0,37.0,0.0
12.0%,42.44712990936556,0.3021148036253776,2.56797583081571,4.078549848942599,"Yakutat City and Borough, Alaska",38.670694864048336,24.47129909365559,9.667673716012084,80,281.0,2.0,27.0,17.0,0.0
22.0%,22.244094488188974,0.17895490336435219,1.1811023622047243,0.25053686471009307,"Yukon-Koyukuk Census Area, Alaska",46.778811739441664,27.773801002147458,10.18253400143164,"1,180",1243.0,10.0,14.0,66.0,0.0
23.6%,23.258480382561032,0.24469364355826506,5.75099974831511,0.28384462652758746,"Apache County, Arizona",60.04642187980648,31.68433121731592,11.560725971084203,"16,900",16634.0,175.0,203.0,4113.0,1.0
14.2%,78.4835472720905,4.160766220516803,32.39002329724545,1.9224034230201148,"Cochise County, Arizona",36.10920774138535,23.030773681726128,17.273460935239747,"17,830",103085.0,5465.0,2525.0,42543.0,1.0
14.6%,61.721754785338604,1.2118642176445644,13.514257444893282,1.3732973270545523,"Coconino County, Arizona",36.792614249261646,23.648090700113823,8.870637772371877,"20,700",82967.0,1629.0,1846.0,18166.0,1.0
17.5%,76.7990745750695,0.43472582420657874,17.889060954904192,0.509356866988824,"Gila County, Arizona",44.886840681381415,21.40231729387839,23.22891206597384,"9,350",41162.0,233.0,273.0,9588.0,1.0
14.8%,72.0768404083826,1.8350349274583555,30.413756045137024,0.537345513164965,"Graham County, Arizona",37.14132186996238,28.41214400859753,11.448146157979581,"5,630",26827.0,683.0,200.0,11320.0,1.0
12.2%,77.20753822448738,1.0548773260637667,47.88431907075975,0.5452174943700367,"Greenlee County, Arizona",37.70297499111058,29.192841057247836,12.04219509304255,"1,160",6514.0,89.0,46.0,4040.0,1.0
18.6%,69.82283176338522,0.6296061301186002,23.45648884767436,0.5222314412611645,"La Paz County, Arizona",50.82727317096979,17.951095709893114,32.61750207428376,"3,870",14306.0,129.0,107.0,4806.0,1.0
11.7%,73.00748182463362,4.991175277048097,29.57051093796706,3.4640017583951446,"Maricopa County, Arizona",36.21002447658796,26.403723019231528,12.12016817928295,"506,640",2786781.0,190519.0,132225.0,1128741.0,1.0
16.7%,86.85822185367607,0.9401256831147033,14.770763190233083,1.0505230135973544,"Mohave County, Arizona",43.26276562796599,20.613329603468774,23.30732418850469,"34,740",173878.0,1882.0,2103.0,29569.0,1.0
20.7%,49.29966774935085,0.8729722938324228,10.768829863470112,0.5397909706000056,"Navajo County, Arizona",52.00792934322329,29.75644259136893,13.25372967640462,"22,650",52972.0,938.0,580.0,11571.0,1.0
13.3%,74.34239586723155,3.5372139925713815,34.56235724494345,2.6249078053542774,"Pima County, Arizona",38.90874183764969,22.985260078162696,15.433919264523906,"136,740",728751.0,34674.0,25731.0,338802.0,1.0
12.0%,72.38816297203077,4.581259813183596,28.468744178619897,1.7276525534236369,"Pinal County, Arizona",37.03089655906538,26.532187242196027,13.857146658860472,"51,730",272013.0,17215.0,6492.0,106977.0,1.0
14.6%,73.46056516237874,0.37747785744411644,82.81948544917756,0.5377477857444116,"Santa Cruz County, Arizona",52.84900885702235,30.704344158582874,13.125263601855758,"6,760",34835.0,179.0,255.0,39273.0,1.0
13.8%,89.32963091080542,0.6003800353499216,13.613036823624741,0.8458392763217127,"Yavapai County, Arizona",36.17396331379453,19.081849758094705,24.0564271938512,"31,400",188515.0,1267.0,1785.0,28728.0,1.0
18.2%,70.4369326338052,2.0081634321152895,59.724854534587315,1.1872225429244294,"Yuma County, Arizona",49.720307942232736,28.191426863719727,15.655603291937206,"38,200",137881.0,3931.0,2324.0,116912.0,1.0
16.4%,71.81765602818234,24.50707187549293,2.697302697302697,0.4837267995162732,"Arkansas County, Arkansas",42.74146905725853,23.26620747673379,16.378358483621643,"2,940",13659.0,4661.0,92.0,513.0,4.0
16.2%,69.29483366128221,25.808813435226284,4.891776872740585,0.18304123003706585,"Ashley County, Arkansas",42.77673545966229,24.390243902439025,16.217452981284033,"3,280",15143.0,5640.0,40.0,1069.0,4.0
16.2%,96.91181075807577,0.16139522559198322,1.6573121672729025,0.4071013899260473,"Baxter County, Arkansas",37.19075952111387,18.081083034230243,28.08517813696914,"6,690",40231.0,67.0,169.0,688.0,4.0
11.7%,82.59592751390402,1.2713529924685663,15.488910675479694,2.8548967872810485,"Benton County, Arkansas",33.27791306547874,27.94265809459698,12.192157730901467,"31,180",182817.0,2814.0,6319.0,34283.0,4.0
16.1%,96.53415711459773,0.19510608893585887,1.8264097769829009,0.4227298593610275,"Boone County, Arkansas",41.96677776874509,23.263691298810397,18.08254071484703,"6,000",35624.0,72.0,156.0,674.0,4.0
17.3%,60.25373653110879,27.572123740006955,13.173444560305875,0.23461939520333683,"Bradley County, Arkansas",43.31769204031978,23.29683698296837,17.735488355926314,"1,890",6934.0,3173.0,27.0,1516.0,4.0
13.9%,74.53427719821163,22.205663189269746,2.8315946348733236,0.20491803278688525,"Calhoun County, Arkansas",38.54321907600596,20.529061102831594,17.194485842026825,720,4001.0,1192.0,11.0,152.0,4.0
14.3%,89.60504262916272,0.3752823726590396,12.712234934052322,0.5975369817095387,"Carroll County, Arkansas",41.10252860161772,22.52787291408584,18.69489178751002,"4,010",24593.0,103.0,164.0,3489.0,4.0
21.2%,41.220338983050844,54.076271186440685,4.59322033898305,0.46610169491525427,"Chicot County, Arkansas",46.61016949152542,23.084745762711865,18.21186440677966,"2,250",4864.0,6381.0,55.0,542.0,4.0
17.0%,71.83300717547293,23.539899978256145,4.026962383126767,0.5218525766470972,"Clark County, Arkansas",36.399217221135025,19.48249619482496,14.829310719721677,"3,800",16518.0,5413.0,120.0,926.0,4.0
20.4%,97.5066840763539,0.3481937449480818,1.349250761673817,0.12435490891002923,"Clay County, Arkansas",44.71180749860101,22.321706149350245,20.021140334514705,"3,040",15682.0,56.0,20.0,217.0,4.0
16.3%,96.7654986522911,0.2772429726607624,1.9907585675779746,0.20023103581055063,"Cleburne County, Arkansas",35.54871005005776,19.876780901039663,23.557951482479783,"4,100",25130.0,72.0,52.0,517.0,4.0
16.8%,85.76360916100818,12.187823685119117,1.668776614109794,0.11508804235239958,"Cleveland County, Arkansas",38.9112671193463,24.755437910001152,16.296466797099782,"1,370",7452.0,1059.0,10.0,145.0,4.0
17.9%,59.85663082437276,36.89719778429456,2.1709025741283803,0.7209188660801563,"Columbia County, Arkansas",43.74796350602802,22.784294558488106,15.998696643857935,"4,260",14696.0,9059.0,177.0,533.0,4.0
18.1%,84.22413387862548,11.211394725708644,3.5585013867343585,0.39016593804352934,"Conway County, Arkansas",40.4785408734076,24.18558736426456,16.88525360785973,"3,780",17917.0,2385.0,83.0,757.0,4.0
16.0%,81.21170017523303,13.106187074230375,4.434743838329376,1.1146480304428523,"Craighead County, Arkansas",44.10273425754072,25.03136567713572,12.172993374324731,"17,140",78323.0,12640.0,1075.0,4277.0,4.0
16.5%,89.09730741912571,1.1703364111835732,6.069606766965842,1.4415316071543876,"Crawford County, Arkansas",40.71963582359398,26.393103893588172,13.290178859688769,"10,370",55194.0,725.0,893.0,3760.0,4.0
16.4%,46.061058504577424,51.17873560960277,1.9920631802286748,0.591332364150721,"Crittenden County, Arkansas",45.13378649168992,29.093159404345602,10.759891556323916,"8,000",23446.0,26051.0,301.0,1014.0,4.0
16.5%,75.51762730833799,22.227196418578625,1.4885282596530498,0.4644655847789591,"Cross County, Arkansas",38.48349188584219,25.14829322887521,15.439283715724677,"2,780",13495.0,3972.0,83.0,266.0,4.0
16.0%,55.15032035485461,41.892557910300646,2.3164120256283884,0.13553474618038444,"Dallas County, Arkansas",38.39329719073435,23.570724494825036,18.161655988171514,"1,170",4476.0,3400.0,11.0,188.0,4.0
19.1%,47.893603936039355,47.7859778597786,4.443419434194342,0.33056580565805654,"Desha County, Arkansas",48.708487084870846,25.960947109471093,15.144526445264454,"2,240",6230.0,6216.0,43.0,578.0,4.0
16.1%,68.8259765519477,27.791885028904854,2.452860770436004,0.5132638176022475,"Drew County, Arkansas",39.2241612188665,23.56151061645686,14.776595169917336,"2,970",12739.0,5144.0,95.0,454.0,4.0
15.3%,84.26574352905853,10.215742204403155,3.9165643738354072,1.127723270662416,"Faulkner County, Arkansas",37.928415623868524,24.499059494688133,9.994966309598453,"18,870",95420.0,11568.0,1277.0,4435.0,4.0
